approved,sku,product_name,expected_code,expected_brand,expected_color,expected_kind,expected_package,source,rank,status,score,query,title,image_url,page_url,local_path,reasons,ocr_text,visual_tags
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,2,rejeitada,-18,Toner HP W9060X-EVP Preto,Toner Hp Cf230a Cor Preto | MercadoLivre,https://http2.mlstatic.com/D_NQ_NP_932540-MLU76349777213_052024-O.webp,https://www.mercadolivre.com.br/toner-hp-cf230a-cor-preto/p/MLB36887691,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\02-http2.mlstatic.com-e80c3058cb.webp,codigo W9060X nao encontrado | marca HP encontrada | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,4,rejeitada,-18,Toner HP W9060X-EVP Preto,KaBuM,https://images.kabum.com.br/produtos/fotos/sync_mirakl/584122/Cartucho-De-Toner-Original-Hp-80a-Preto-Cf-280a-Cf280a_1731795535_gg.jpg,https://www.kabum.com.br/produto/584122/cartucho-de-toner-original-hp-80a-preto-cf-280a-cf280a,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\04-images.kabum.com.br-5567d2df12.jpg,codigo W9060X nao encontrado | marca HP encontrada | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,7,rejeitada,-18,Toner HP W9060X-EVP Preto,Toner Original HP nº56A Preto - Limifield,https://www.limifield.pt/wp-content/uploads/2023/05/Toner-Original-HP-no56A-Preto.jpg,https://www.limifield.pt/loja/toner-original-hp-no56a-preto/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\07-www.limifield.pt-76664c7492.jpg,codigo W9060X nao encontrado | marca HP encontrada | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,8,rejeitada,-18,Toner HP W9060X-EVP Preto,HP 59A Black Original LaserJet Toner Cartridge - Radox Technology,https://radox.co.ke/wp-content/uploads/2025/05/917817.png,https://radox.co.ke/product/hp-59a-black-original-laserjet-toner-cartridge/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\08-radox.co.ke-8b9a6d80ee.png,codigo W9060X nao encontrado | marca HP encontrada | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,2,rejeitada,-18,HP W9060X toner preto original,Toner Original HP nº90X Preto Pack de 2 - Limifield,https://www.limifield.pt/wp-content/uploads/2023/05/Toner-Original-HP-no90X-Preto-Pack-de-2.jpg,https://www.limifield.pt/loja/toner-original-hp-no90x-preto-pack-de-2/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\02-www.limifield.pt-8e7aad940b.jpg,codigo W9060X nao encontrado | marca HP encontrada | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,5,rejeitada,-18,HP W9060X toner preto original,HP 59A Black Original LaserJet Toner Cartridge,https://etech.co.ke/wp-content/uploads/2025/06/32482-hp-59a-11-1.webp,https://etech.co.ke/product/hp-59a-black-cf259a-original-laserjet-toner-cartridge-2/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\05-etech.co.ke-8f5b79295d.webp,codigo W9060X nao encontrado | marca HP encontrada | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,8,rejeitada,-18,HP W9060X toner preto original,Toner Original Hp nº05A Preto - UDI - Universo da Informática,https://www.udi.pt/wp-content/uploads/2019/08/Toner-Original-Hp-no05A-Preto.jpg,https://www.udi.pt/produto/toner-original-hp-no05a-preto/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\08-www.udi.pt-2316d947e0.jpg,codigo W9060X nao encontrado | marca HP encontrada | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9060X-PRT,Toner HP W9060X-EVP Preto,W9060X,HP,preto,toner,,duckduckgo,4,rejeitada,-108,HP W9060X toner preto original,Toner Original HP nº26A Preto - Limifield,https://www.limifield.pt/wp-content/uploads/2022/10/Toner-Compativel-Brother-TN1050-XL-Alta-Capacidade-Preto-2024-12-11T150453.253.jpg,https://www.limifield.pt/loja/toner-original-hp-no26a-preto/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9060X-PRT\_review\04-www.limifield.pt-d7c6acb26e.jpg,codigo W9060X nao encontrado | marca HP encontrada | termo de compativel/remanufaturado sem isso constar na planilha | tipo toner encontrado | cor preto encontrada,,
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,6,rejeitada,7,Toner HP W9061X-EVP Ciano,Cartucho de toner LaserJet ciano HP 130A original - (CF351A) - Loja HP ...,https://br-media.hptiendaenlinea.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/C/F/CF351A-1_T1761237008.png,https://www.hp.com/br-pt/shop/cartucho-de-toner-laserjet-ciano-hp-130a-original-cf351a.html,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9061X-CIA\_review\06-br-media.hptiendaenlinea.com-9691ad7ccc.png,codigo W9061X nao encontrado | marca HP encontrada | fonte/imagem oficial ou confiavel para HP | tipo toner encontrado | cor ciano encontrada,,
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,2,rejeitada,-18,Toner HP W9061X-EVP Ciano,HP 201A (CF401A) Toner Ciano 1400 páginas para Color LaserJet Pro M252/M277,https://chipman.pt/185298-large_default/tinteiro-hp-201a-laser-cartridge-1400paginas-cyan-cf401a.jpg,https://chipman.pt/tinteiros/tinteiro-hp-201a-laser-cartridge-1400paginas-cyan-cf401a,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9061X-CIA\_review\02-chipman.pt-196dfb4fdd.jpg,codigo W9061X nao encontrado | marca HP encontrada | tipo toner encontrado | cor ciano encontrada,,
