sku,name,status,icecat_attempt,search_url,page_url,downloaded,processed,failed_images,message,raw_dir,output_dir
CRT-EPS-788XL-AMR-VNC,CRT-EPS-788XL-AMR-VNC,dry_run,EPS-788XL | CRT-EPS-788XL-AMR-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-EPS-788XL-AMR-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-EPS-788XL-AMR-VNC
CRT-EPS-788XXL-CIA-VNC,CRT-EPS-788XXL-CIA-VNC,dry_run,EPS-788XXL | CRT-EPS-788XXL-CIA-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-EPS-788XXL-CIA-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-EPS-788XXL-CIA-VNC
CRT-EPS-788XXL-MAG-VNC,CRT-EPS-788XXL-MAG-VNC,dry_run,EPS-788XXL | CRT-EPS-788XXL-MAG-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-EPS-788XXL-MAG-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-EPS-788XXL-MAG-VNC
CRT-EPS-788XXL-PRT-VNC,CRT-EPS-788XXL-PRT-VNC,dry_run,EPS-788XXL | CRT-EPS-788XXL-PRT-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-EPS-788XXL-PRT-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-EPS-788XXL-PRT-VNC
CRT-EPS-T6942-CIA-VNC,CRT-EPS-T6942-CIA-VNC,dry_run,EPS-T6942 | CRT-EPS-T6942-CIA-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-EPS-T6942-CIA-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-EPS-T6942-CIA-VNC
CRT-EPS-TO90120-PRT,CRT-EPS-TO90120-PRT,dry_run,TO90120 | CRT-EPS-TO90120-PRT,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-EPS-TO90120-PRT,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-EPS-TO90120-PRT
CRT-HP-727-CIA-VNC,CRT-HP-727-CIA-VNC,dry_run,HP HP-727 | HP-727 | CRT-HP-727-CIA-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-727-CIA-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-727-CIA-VNC
CRT-HP-727-CIA-VNC-1059,CRT-HP-727-CIA-VNC-1059,dry_run,HP HP-727 | HP-727 | CRT-HP-727-CIA-VNC-1059,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-727-CIA-VNC-1059,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-727-CIA-VNC-1059
CRT-HP-727-MAG-VNC,CRT-HP-727-MAG-VNC,dry_run,HP HP-727 | HP-727 | CRT-HP-727-MAG-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-727-MAG-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-727-MAG-VNC
CRT-HP-727-MAG-VNC-1060,CRT-HP-727-MAG-VNC-1060,dry_run,HP HP-727 | HP-727 | CRT-HP-727-MAG-VNC-1060,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-727-MAG-VNC-1060,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-727-MAG-VNC-1060
CRT-HP-727-PRT-VNC,CRT-HP-727-PRT-VNC,dry_run,HP HP-727 | HP-727 | CRT-HP-727-PRT-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-727-PRT-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-727-PRT-VNC
CRT-HP-836,CRT-HP-836,dry_run,HP HP-836 | HP-836 | CRT-HP-836,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-836,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-836
CRT-HP-951XL-AMR-VNC,CRT-HP-951XL-AMR-VNC,dry_run,HP HP-951XL | HP-951XL | CRT-HP-951XL-AMR-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-951XL-AMR-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-951XL-AMR-VNC
CRT-HP-951XL-CIA-VNC,CRT-HP-951XL-CIA-VNC,dry_run,HP HP-951XL | HP-951XL | CRT-HP-951XL-CIA-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-951XL-CIA-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-951XL-CIA-VNC
CRT-HP-951XL-MAG-VNC,CRT-HP-951XL-MAG-VNC,dry_run,HP HP-951XL | HP-951XL | CRT-HP-951XL-MAG-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-951XL-MAG-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-951XL-MAG-VNC
CRT-HP-972X-CIA,CRT-HP-972X-CIA,dry_run,HP HP-972X | HP-972X | CRT-HP-972X-CIA,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-972X-CIA,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-972X-CIA
CRT-HP-972X-MAG,CRT-HP-972X-MAG,dry_run,HP HP-972X | HP-972X | CRT-HP-972X-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-972X-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-972X-MAG
CRT-HP-974A-PRT-VNC,CRT-HP-974A-PRT-VNC,dry_run,HP HP-974A | HP-974A | CRT-HP-974A-PRT-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-974A-PRT-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-974A-PRT-VNC
CRT-HP-974X-CIA-AB,CRT-HP-974X-CIA-AB,dry_run,HP HP-974X | HP-974X | CRT-HP-974X-CIA-AB,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-974X-CIA-AB,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-974X-CIA-AB
